
272:	learn: 0.3435806	total: 9m 20s	remaining: 2h 41m 51s
273:	learn: 0.3430831	total: 9m 22s	remaining: 2h 41m 50s
274:	learn: 0.3421783	total: 9m 25s	remaining: 2h 41m 49s
275:	learn: 0.3414540	total: 9m 27s	remaining: 2h 41m 48s
276:	learn: 0.3409776	total: 9m 29s	remaining: 2h 41m 46s
277:	learn: 0.3399609	total: 9m 31s	remaining: 2h 41m 45s
278:	learn: 0.3393265	total: 9m 33s	remaining: 2h 41m 43s
279:	learn: 0.3388165	total: 9m 35s	remaining: 2h 41m 42s
280:	learn: 0.3381093	total: 9m 37s	remaining: 2h 41m 41s
281:	learn: 0.3374541	total: 9m 39s	remaining: 2h 41m 41s
282:	learn: 0.3369830	total: 9m 42s	remaining: 2h 41m 41s
283:	learn: 0.3361745	total: 9m 44s	remaining: 2h 41m 44s
284:	learn: 0.3354595	total: 9m 46s	remaining: 2h 41m 43s
285:	learn: 0.3351628	total: 9m 48s	remaining: 2h 41m 44s
286:	learn: 0.3347045	total: 9m 50s	remaining: 2h 41m 44s
287:	learn: 0.3341677	total: 9m 53s	remaining: 2h 41m 43s
288:	learn: 0.3335016	total: 9m 55s	remaining: 2h 41m 43s
289:	learn: 0.3326003	total: 9m 57s	remaining: 2h 41m 44s
290:	learn: 0.3318196	total: 9m 59s	remaining: 2h 41m 45s
291:	learn: 0.3314700	total: 10m 1s	remaining: 2h 41m 44s
292:	learn: 0.3308194	total: 10m 4s	remaining: 2h 41m 43s
293:	learn: 0.3304450	total: 10m 6s	remaining: 2h 41m 43s
294:	learn: 0.3298744	total: 10m 8s	remaining: 2h 41m 42s
295:	learn: 0.3294583	total: 10m 10s	remaining: 2h 41m 43s
296:	learn: 0.3289375	total: 10m 12s	remaining: 2h 41m 44s
297:	learn: 0.3284036	total: 10m 15s	remaining: 2h 41m 46s
298:	learn: 0.3279796	total: 10m 17s	remaining: 2h 41m 50s
299:	learn: 0.3266571	total: 10m 19s	remaining: 2h 41m 50s
300:	learn: 0.3262410	total: 10m 22s	remaining: 2h 41m 52s
301:	learn: 0.3257157	total: 10m 24s	remaining: 2h 41m 55s
302:	learn: 0.3246439	total: 10m 27s	remaining: 2h 42m
303:	learn: 0.3243716	total: 10m 29s	remaining: 2h 42m 3s
304:	learn: 0.3240319	total: 10m 31s	remaining: 2h 42m 5s
305:	learn: 0.3234616	total: 10m 34s	remaining: 2h 42m 10s
306:	learn: 0.3228399	total: 10m 36s	remaining: 2h 42m 13s
307:	learn: 0.3225484	total: 10m 39s	remaining: 2h 42m 16s
308:	learn: 0.3222076	total: 10m 41s	remaining: 2h 42m 19s
309:	learn: 0.3213451	total: 10m 43s	remaining: 2h 42m 20s
310:	learn: 0.3210320	total: 10m 46s	remaining: 2h 42m 22s
311:	learn: 0.3206782	total: 10m 48s	remaining: 2h 42m 24s
312:	learn: 0.3200625	total: 10m 50s	remaining: 2h 42m 27s
313:	learn: 0.3194968	total: 10m 53s	remaining: 2h 42m 31s
314:	learn: 0.3188672	total: 10m 55s	remaining: 2h 42m 34s
315:	learn: 0.3183961	total: 10m 58s	remaining: 2h 42m 37s
316:	learn: 0.3179855	total: 11m	remaining: 2h 42m 40s
317:	learn: 0.3174848	total: 11m 3s	remaining: 2h 42m 44s
318:	learn: 0.3170306	total: 11m 5s	remaining: 2h 42m 45s
319:	learn: 0.3164766	total: 11m 7s	remaining: 2h 42m 46s
320:	learn: 0.3159428	total: 11m 9s	remaining: 2h 42m 45s
321:	learn: 0.3155430	total: 11m 12s	remaining: 2h 42m 45s
322:	learn: 0.3152152	total: 11m 14s	remaining: 2h 42m 45s
323:	learn: 0.3149610	total: 11m 16s	remaining: 2h 42m 45s
324:	learn: 0.3144514	total: 11m 18s	remaining: 2h 42m 42s
325:	learn: 0.3141207	total: 11m 20s	remaining: 2h 42m 39s
326:	learn: 0.3133723	total: 11m 22s	remaining: 2h 42m 37s
327:	learn: 0.3125342	total: 11m 24s	remaining: 2h 42m 36s
328:	learn: 0.3115923	total: 11m 27s	remaining: 2h 42m 37s
329:	learn: 0.3108736	total: 11m 29s	remaining: 2h 42m 38s
330:	learn: 0.3101742	total: 11m 31s	remaining: 2h 42m 38s
331:	learn: 0.3098758	total: 11m 33s	remaining: 2h 42m 37s
332:	learn: 0.3092705	total: 11m 36s	remaining: 2h 42m 35s
333:	learn: 0.3087983	total: 11m 38s	remaining: 2h 42m 31s
334:	learn: 0.3084707	total: 11m 40s	remaining: 2h 42m 29s
335:	learn: 0.3081111	total: 11m 42s	remaining: 2h 42m 26s
336:	learn: 0.3077434	total: 11m 44s	remaining: 2h 42m 23s
337:	learn: 0.3071609	total: 11m 46s	remaining: 2h 42m 19s
338:	learn: 0.3067379	total: 11m 48s	remaining: 2h 42m 19s
339:	learn: 0.3066234	total: 11m 50s	remaining: 2h 42m 18s
340:	learn: 0.3055819	total: 11m 52s	remaining: 2h 42m 15s
341:	learn: 0.3052721	total: 11m 54s	remaining: 2h 42m 13s
342:	learn: 0.3048870	total: 11m 56s	remaining: 2h 42m 11s
343:	learn: 0.3042279	total: 11m 58s	remaining: 2h 42m 8s
344:	learn: 0.3039352	total: 12m	remaining: 2h 42m 5s
345:	learn: 0.3033184	total: 12m 2s	remaining: 2h 42m 4s
346:	learn: 0.3028507	total: 12m 5s	remaining: 2h 42m 6s
347:	learn: 0.3023210	total: 12m 7s	remaining: 2h 42m 8s
348:	learn: 0.3019640	total: 12m 9s	remaining: 2h 42m 7s
349:	learn: 0.3010935	total: 12m 12s	remaining: 2h 42m 7s
350:	learn: 0.3004893	total: 12m 14s	remaining: 2h 42m 8s
351:	learn: 0.2995532	total: 12m 16s	remaining: 2h 42m 11s
352:	learn: 0.2990431	total: 12m 19s	remaining: 2h 42m 12s
353:	learn: 0.2984612	total: 12m 21s	remaining: 2h 42m 12s
354:	learn: 0.2978465	total: 12m 23s	remaining: 2h 42m 10s
355:	learn: 0.2973773	total: 12m 25s	remaining: 2h 42m 9s
356:	learn: 0.2969192	total: 12m 27s	remaining: 2h 42m 6s
357:	learn: 0.2966713	total: 12m 30s	remaining: 2h 42m 5s
358:	learn: 0.2959432	total: 12m 32s	remaining: 2h 42m 4s
359:	learn: 0.2954964	total: 12m 34s	remaining: 2h 42m 2s
360:	learn: 0.2953030	total: 12m 36s	remaining: 2h 42m
361:	learn: 0.2948073	total: 12m 38s	remaining: 2h 42m 1s
362:	learn: 0.2944664	total: 12m 40s	remaining: 2h 42m
363:	learn: 0.2940071	total: 12m 42s	remaining: 2h 41m 57s
364:	learn: 0.2936618	total: 12m 45s	remaining: 2h 41m 59s
365:	learn: 0.2931746	total: 12m 47s	remaining: 2h 41m 58s
366:	learn: 0.2926775	total: 12m 49s	remaining: 2h 41m 55s
367:	learn: 0.2923341	total: 12m 51s	remaining: 2h 41m 53s
368:	learn: 0.2917471	total: 12m 53s	remaining: 2h 41m 50s
369:	learn: 0.2911167	total: 12m 55s	remaining: 2h 41m 48s
370:	learn: 0.2906729	total: 12m 57s	remaining: 2h 41m 46s
371:	learn: 0.2899008	total: 13m	remaining: 2h 41m 44s
372:	learn: 0.2895699	total: 13m 2s	remaining: 2h 41m 43s
373:	learn: 0.2888932	total: 13m 4s	remaining: 2h 41m 41s
374:	learn: 0.2882923	total: 13m 6s	remaining: 2h 41m 39s
375:	learn: 0.2879707	total: 13m 8s	remaining: 2h 41m 37s
376:	learn: 0.2873520	total: 13m 10s	remaining: 2h 41m 36s
377:	learn: 0.2870068	total: 13m 12s	remaining: 2h 41m 35s
378:	learn: 0.2865737	total: 13m 15s	remaining: 2h 41m 34s
379:	learn: 0.2863601	total: 13m 17s	remaining: 2h 41m 34s
380:	learn: 0.2859034	total: 13m 19s	remaining: 2h 41m 34s
381:	learn: 0.2852939	total: 13m 21s	remaining: 2h 41m 32s
382:	learn: 0.2849216	total: 13m 23s	remaining: 2h 41m 30s
383:	learn: 0.2845390	total: 13m 25s	remaining: 2h 41m 27s
384:	learn: 0.2841836	total: 13m 27s	remaining: 2h 41m 23s
385:	learn: 0.2837885	total: 13m 29s	remaining: 2h 41m 20s
386:	learn: 0.2835358	total: 13m 31s	remaining: 2h 41m 18s
387:	learn: 0.2828637	total: 13m 33s	remaining: 2h 41m 15s
388:	learn: 0.2823209	total: 13m 36s	remaining: 2h 41m 13s
389:	learn: 0.2819192	total: 13m 38s	remaining: 2h 41m 12s
390:	learn: 0.2812370	total: 13m 40s	remaining: 2h 41m 12s
