229:	learn: 0.7352578	total: 3.18s	remaining: 24.5s
230:	learn: 0.7347587	total: 3.2s	remaining: 24.5s
231:	learn: 0.7342187	total: 3.21s	remaining: 24.5s
232:	learn: 0.7337871	total: 3.23s	remaining: 24.5s
233:	learn: 0.7333966	total: 3.24s	remaining: 24.5s
234:	learn: 0.7327643	total: 3.26s	remaining: 24.5s
235:	learn: 0.7324041	total: 3.27s	remaining: 24.4s
236:	learn: 0.7319024	total: 3.28s	remaining: 24.4s
237:	learn: 0.7315499	total: 3.29s	remaining: 24.4s
238:	learn: 0.7310063	total: 3.31s	remaining: 24.4s
239:	learn: 0.7306166	total: 3.32s	remaining: 24.4s
240:	learn: 0.7301424	total: 3.34s	remaining: 24.4s
241:	learn: 0.7295778	total: 3.35s	remaining: 24.3s
242:	learn: 0.7291956	total: 3.36s	remaining: 24.3s
243:	learn: 0.7288384	total: 3.38s	remaining: 24.3s
244:	learn: 0.7284020	total: 3.39s	remaining: 24.3s
245:	learn: 0.7279814	total: 3.4s	remaining: 24.3s
246:	learn: 0.7274019	total: 3.42s	remaining: 24.3s
247:	learn: 0.7268942	total: 3.43s	remaining: 24.2s
248:	learn: 0.7263534	total: 3.44s	remaining: 24.2s
249:	learn: 0.7258028	total: 3.46s	remaining: 24.2s
250:	learn: 0.7253328	total: 3.47s	remaining: 24.2s
251:	learn: 0.7248728	total: 3.49s	remaining: 24.2s
252:	learn: 0.7244833	total: 3.5s	remaining: 24.2s
253:	learn: 0.7241388	total: 3.52s	remaining: 24.2s
254:	learn: 0.7236169	total: 3.53s	remaining: 24.1s
255:	learn: 0.7231005	total: 3.54s	remaining: 24.1s
256:	learn: 0.7225972	total: 3.55s	remaining: 24.1s
257:	learn: 0.7222499	total: 3.57s	remaining: 24.1s
258:	learn: 0.7218700	total: 3.58s	remaining: 24.1s
259:	learn: 0.7213846	total: 3.59s	remaining: 24s
260:	learn: 0.7210432	total: 3.6s	remaining: 24s
261:	learn: 0.7207497	total: 3.61s	remaining: 24s
262:	learn: 0.7204577	total: 3.63s	remaining: 24s
263:	learn: 0.7199399	total: 3.64s	remaining: 23.9s
264:	learn: 0.7195974	total: 3.65s	remaining: 23.9s
265:	learn: 0.7192687	total: 3.66s	remaining: 23.9s
266:	learn: 0.7189677	total: 3.68s	remaining: 23.9s
267:	learn: 0.7186197	total: 3.69s	remaining: 23.8s
268:	learn: 0.7181228	total: 3.7s	remaining: 23.8s
269:	learn: 0.7177735	total: 3.71s	remaining: 23.8s
270:	learn: 0.7172390	total: 3.73s	remaining: 23.8s
271:	learn: 0.7167555	total: 3.74s	remaining: 23.8s
272:	learn: 0.7163287	total: 3.75s	remaining: 23.7s
273:	learn: 0.7158903	total: 3.76s	remaining: 23.7s
274:	learn: 0.7153326	total: 3.77s	remaining: 23.7s
275:	learn: 0.7148772	total: 3.79s	remaining: 23.7s
276:	learn: 0.7145385	total: 3.8s	remaining: 23.7s
277:	learn: 0.7141079	total: 3.82s	remaining: 23.6s
278:	learn: 0.7136023	total: 3.83s	remaining: 23.6s
279:	learn: 0.7133115	total: 3.84s	remaining: 23.6s
280:	learn: 0.7129784	total: 3.85s	remaining: 23.6s
281:	learn: 0.7126576	total: 3.87s	remaining: 23.6s
282:	learn: 0.7121933	total: 3.88s	remaining: 23.6s
283:	learn: 0.7119019	total: 3.9s	remaining: 23.6s
284:	learn: 0.7114995	total: 3.91s	remaining: 23.5s
285:	learn: 0.7111294	total: 3.92s	remaining: 23.5s
286:	learn: 0.7106885	total: 3.94s	remaining: 23.5s
287:	learn: 0.7103548	total: 3.95s	remaining: 23.5s
288:	learn: 0.7100698	total: 3.96s	remaining: 23.4s
289:	learn: 0.7097988	total: 3.97s	remaining: 23.4s
290:	learn: 0.7094306	total: 3.98s	remaining: 23.4s
291:	learn: 0.7091823	total: 4s	remaining: 23.4s
292:	learn: 0.7088651	total: 4.01s	remaining: 23.4s
293:	learn: 0.7085673	total: 4.02s	remaining: 23.3s
294:	learn: 0.7081806	total: 4.03s	remaining: 23.3s
295:	learn: 0.7078698	total: 4.05s	remaining: 23.3s
296:	learn: 0.7075816	total: 4.06s	remaining: 23.3s
297:	learn: 0.7072521	total: 4.07s	remaining: 23.2s
298:	learn: 0.7068411	total: 4.08s	remaining: 23.2s
299:	learn: 0.7065147	total: 4.1s	remaining: 23.2s
300:	learn: 0.7061857	total: 4.11s	remaining: 23.2s
301:	learn: 0.7057914	total: 4.12s	remaining: 23.2s
