371:	learn: 0.5191040	total: 5.88s	remaining: 25.7s
372:	learn: 0.5190134	total: 5.89s	remaining: 25.7s
373:	learn: 0.5187771	total: 5.91s	remaining: 25.7s
374:	learn: 0.5185974	total: 5.92s	remaining: 25.7s
375:	learn: 0.5183703	total: 5.94s	remaining: 25.6s
376:	learn: 0.5181579	total: 5.95s	remaining: 25.6s
377:	learn: 0.5181159	total: 5.96s	remaining: 25.6s
378:	learn: 0.5179387	total: 5.98s	remaining: 25.6s
379:	learn: 0.5177828	total: 5.99s	remaining: 25.5s
380:	learn: 0.5175755	total: 6.01s	remaining: 25.5s
381:	learn: 0.5174165	total: 6.02s	remaining: 25.5s
382:	learn: 0.5172848	total: 6.04s	remaining: 25.5s
383:	learn: 0.5169630	total: 6.05s	remaining: 25.5s
384:	learn: 0.5167959	total: 6.07s	remaining: 25.4s
385:	learn: 0.5166864	total: 6.08s	remaining: 25.4s
386:	learn: 0.5165561	total: 6.1s	remaining: 25.4s
387:	learn: 0.5162014	total: 6.11s	remaining: 25.4s
388:	learn: 0.5160655	total: 6.12s	remaining: 25.4s
389:	learn: 0.5158778	total: 6.14s	remaining: 25.3s
390:	learn: 0.5157553	total: 6.15s	remaining: 25.3s
391:	learn: 0.5157156	total: 6.17s	remaining: 25.3s
392:	learn: 0.5155364	total: 6.18s	remaining: 25.3s
393:	learn: 0.5153443	total: 6.2s	remaining: 25.3s
394:	learn: 0.5151845	total: 6.21s	remaining: 25.2s
395:	learn: 0.5150837	total: 6.23s	remaining: 25.2s
396:	learn: 0.5150047	total: 6.24s	remaining: 25.2s
397:	learn: 0.5147685	total: 6.25s	remaining: 25.2s
398:	learn: 0.5146564	total: 6.27s	remaining: 25.2s
399:	learn: 0.5143985	total: 6.28s	remaining: 25.1s
400:	learn: 0.5143869	total: 6.3s	remaining: 25.1s
401:	learn: 0.5142706	total: 6.31s	remaining: 25.1s
402:	learn: 0.5141224	total: 6.33s	remaining: 25.1s
403:	learn: 0.5134818	total: 6.34s	remaining: 25s
404:	learn: 0.5132919	total: 6.35s	remaining: 25s
405:	learn: 0.5130579	total: 6.37s	remaining: 25s
406:	learn: 0.5126313	total: 6.38s	remaining: 25s
407:	learn: 0.5124965	total: 6.39s	remaining: 25s
408:	learn: 0.5123341	total: 6.41s	remaining: 24.9s
